loc,metro
Akron,"Akron, OH"
Albany,"Albany-Schenectady-Troy, NY"
Albuquerque,"Albuquerque, NM"
Allentown,"Allentown-Bethlehem-Easton, PA-NJ"
Atlanta,"Atlanta-Sandy Springs-Roswell, GA"
Augusta,"Augusta-Richmond County, GA-SC"
Austin,"Austin-Round Rock, TX"
Bakersfield,"Bakersfield, CA"
Baltimore,"Baltimore-Columbia-Towson, MD"
Baton Rouge,"Baton Rouge, LA"
Birmingham,"Birmingham-Hoover, AL"
Boise,"Boise City, ID"
Boston,"Boston-Cambridge-Newton, MA-NH"
Bridgeport,"Bridgeport-Stamford-Norwalk, CT"
Buffalo,"Buffalo-Cheektowaga-Niagara Falls, NY"
Cape Coral,"Cape Coral-Fort Myers, FL"
Central New Jersey,"New York-Newark-Jersey City, NY-NJ-PA"
Charleston,"Charleston-North Charleston, SC"
Charlotte,"Charlotte-Concord-Gastonia, NC-SC"
Chattanooga,"Chattanooga, TN-GA"
Chicago,"Chicago-Naperville-Elgin, IL-IN-WI"
Cincinnati,"Cincinnati, OH-KY-IN"
Cleveland,"Cleveland-Elyria, OH"
Colorado Springs,"Colorado Springs, CO"
Columbia,"Columbia, SC"
Columbus,"Columbus, OH"
Dallas,"Dallas-Fort Worth-Arlington, TX"
Dayton,"Dayton, OH"
Delaware,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
Deltona,"Deltona-Daytona Beach-Ormond Beach, FL"
Denver,"Denver-Aurora-Lakewood, CO"
Des Moines,"Des Moines-West Des Moines, IA"
Detroit,"Detroit-Warren-Dearborn, MI"
El Paso,"El Paso, TX"
Fresno,"Fresno, CA"
Grand Rapids,"Grand Rapids-Wyoming, MI"
Greensboro,"Greensboro-High Point, NC"
Greenville,"Greenville-Anderson-Mauldin, SC"
Harrisburg,"Harrisburg-Carlisle, PA"
Hartford,"Hartford-West Hartford-East Hartford, CT"
Honolulu,"Urban Honolulu, HI"
Houston,"Houston-The Woodlands-Sugar Land, TX"
Indianapolis,"Indianapolis-Carmel-Anderson, IN"
Jackson,"Jackson, MS"
Jacksonville,"Jacksonville, FL"
Jersey Shore,"New York-Newark-Jersey City, NY-NJ-PA"
Kansas City,"Kansas City, MO-KS"
Knoxville,"Knoxville, TN"
Lakeland,"Lakeland-Winter Haven, FL"
Lancaster,"Lancaster, PA"
Las Vegas,"Las Vegas-Henderson-Paradise, NV"
Little Rock,"Little Rock-North Little Rock-Conway, AR"
Long Island,"New York-Newark-Jersey City, NY-NJ-PA"
Los Angeles,"Los Angeles-Long Beach-Anaheim, CA"
Louisville,"Louisville/Jefferson County, KY-IN"
Madison,"Madison, WI"
McAllen,"McAllen-Edinburg-Mission, TX"
Memphis,"Memphis, TN-MS-AR"
Miami,"Miami-Fort Lauderdale-West Palm Beach, FL"
Milwaukee,"Milwaukee-Waukesha-West Allis, WI"
Minneapolis,"Minneapolis-St. Paul-Bloomington, MN-WI"
Nashville,"Nashville-Davidson--Murfreesboro--Franklin, TN"
New Haven,"New Haven-Milford, CT"
New Orleans,"New Orleans-Metairie, LA"
New York City,"New York-Newark-Jersey City, NY-NJ-PA"
North New Jersey,"New York-Newark-Jersey City, NY-NJ-PA"
North Port,"North Port-Sarasota-Bradenton, FL"
Ogden,"Ogden-Clearfield, UT"
Oklahoma City,"Oklahoma City, OK"
Omaha,"Omaha-Council Bluffs, NE-IA"
Orange County,"Los Angeles-Long Beach-Anaheim, CA"
Orlando,"Orlando-Kissimmee-Sanford, FL"
Oxnard,"Oxnard-Thousand Oaks-Ventura, CA"
Palm Bay,"Palm Bay-Melbourne-Titusville, FL"
Philadelphia,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
Phoenix,"Phoenix-Mesa-Scottsdale, AZ"
Pittsburgh,"Pittsburgh, PA"
Portland,"Portland-Vancouver-Hillsboro, OR-WA"
Poughkeepsie,"Poughkeepsie-Newburgh-Middletown, NY"
Providence,"Providence-Warwick, RI-MA"
Provo,"Provo-Orem, UT"
Raleigh,"Raleigh, NC"
Reno,"Reno, NV"
Richmond,"Richmond, VA"
Riverside,"Riverside-San Bernardino-Ontario, CA"
Rochester,"Rochester, NY"
Sacramento,"Sacramento--Roseville--Arden-Arcade, CA"
Salt Lake City,"Salt Lake City, UT"
San Antonio,"San Antonio-New Braunfels, TX"
San Diego,"San Diego-Carlsbad, CA"
San Francisco,"San Francisco-Oakland-Hayward, CA"
San Jose,"San Jose-Sunnyvale-Santa Clara, CA"
Scranton,"Scranton--Wilkes-Barre--Hazleton, PA"
Seattle,"Seattle-Tacoma-Bellevue, WA"
South New Jersey,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD"
Spokane,"Spokane-Spokane Valley, WA"
Springfield,"Springfield, MA"
St. Louis,"St. Louis, MO-IL"
Stockton,"Stockton-Lodi, CA"
Syracuse,"Syracuse, NY"
Tampa,"Tampa-St. Petersburg-Clearwater, FL"
Toledo,"Toledo, OH"
Tucson,"Tucson, AZ"
Tulsa,"Tulsa, OK"
Virginia Beach,"Virginia Beach-Norfolk-Newport News, VA-NC"
Washington DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
Wichita,"Wichita, KS"
Worcester,"Worcester, MA-CT"
Youngstown,"Youngstown-Warren-Boardman, OH-PA"
